CustomerID,Name,AnnualIncome,EmploymentLength,CreditScore,HomeOwnership,State,VerificationStatus
1,Customer_66420561,66000.0,2.0,687,MORTGAGE,OH,Source Verified
2,Customer_67939078,66000.0,6.0,662,RENT,VA,Verified
3,Customer_68366850,96000.0,8.0,727,MORTGAGE,MN,Not Verified
4,Customer_67315303,155000.0,7.0,732,RENT,CA,Not Verified
5,Customer_66025598,81851.0,5.0,757,MORTGAGE,ME,Not Verified
6,Customer_65608049,78415.0,10.0,702,RENT,FL,Verified
7,Customer_68018286,45000.0,0.0,732,RENT,MI,Source Verified
8,Customer_65714153,70000.0,10.0,687,MORTGAGE,AZ,Source Verified
9,Customer_68553238,125000.0,10.0,702,MORTGAGE,MI,Not Verified
10,Customer_65874444,80000.0,6.0,752,RENT,CA,Source Verified
11,Customer_65657518,85000.0,10.0,662,RENT,NY,Source Verified
12,Customer_66066071,25000.0,2.0,672,RENT,NV,Verified
13,Customer_67655244,28000.0,1.0,707,RENT,VA,Source Verified
14,Customer_68604936,64000.0,5.0,702,RENT,OK,Not Verified
15,Customer_67476587,60000.0,5.0,677,RENT,CA,Not Verified
16,Customer_66482468,135000.0,10.0,722,MORTGAGE,PA,Not Verified
17,Customer_67418361,46000.0,,692,RENT,VA,Source Verified
18,Customer_65736830,36424.0,2.0,692,MORTGAGE,OH,Source Verified
19,Customer_67695303,60000.0,10.0,662,RENT,FL,Verified
20,Customer_67575659,93000.0,10.0,782,MORTGAGE,IL,Verified
21,Customer_68202773,38000.0,8.0,712,RENT,CA,Source Verified
22,Customer_67327124,85000.0,,697,MORTGAGE,WI,Not Verified
23,Customer_68574173,100000.0,10.0,707,MORTGAGE,IL,Source Verified
24,Customer_66404981,73000.0,10.0,697,OWN,NC,Not Verified
25,Customer_67349268,92000.0,0.0,667,MORTGAGE,NE,Not Verified
26,Customer_66643530,215000.0,10.0,702,RENT,GA,Source Verified
27,Customer_65656238,56000.0,,702,OWN,NJ,Verified
28,Customer_66532101,61584.0,10.0,727,RENT,CA,Verified
29,Customer_66086653,72000.0,10.0,682,MORTGAGE,CO,Verified
30,Customer_65119158,110000.0,2.0,747,MORTGAGE,TX,Not Verified
31,Customer_65877533,41000.0,0.0,687,RENT,NJ,Verified
32,Customer_66635354,58000.0,0.0,677,RENT,TX,Source Verified
33,Customer_68553344,116500.0,6.0,667,MORTGAGE,VA,Verified
34,Customer_68593882,40000.0,0.0,697,MORTGAGE,VT,Verified
35,Customer_66054987,30000.0,2.0,702,RENT,CA,Source Verified
36,Customer_65665178,48000.0,,697,MORTGAGE,OK,Not Verified
37,Customer_65744186,65000.0,2.0,677,MORTGAGE,IL,Source Verified
38,Customer_66014286,68510.27,10.0,667,RENT,CA,Source Verified
39,Customer_65592480,30000.0,10.0,702,RENT,CA,Verified
40,Customer_67726105,52000.0,10.0,677,MORTGAGE,GA,Source Verified
41,Customer_65742372,300000.0,2.0,662,MORTGAGE,CA,Source Verified
42,Customer_66464544,64000.0,10.0,687,RENT,NJ,Verified
43,Customer_67788991,85000.0,10.0,707,OWN,MN,Verified
