LoanID,CustomerID,OriginalLoanID,LoanAmount,InterestRate,LoanPurpose,LoanStatus,LoanTerm,LoanGrade,IssueDate
1,1,66420561,6000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-12-01
2,2,67939078,12575.0,18.49,debt_consolidation,Current,60,E,2015-12-01
3,3,68366850,16000.0,5.32,debt_consolidation,Fully Paid,36,A,2015-12-01
4,4,67315303,21150.0,13.67,debt_consolidation,Current,60,C,2015-12-01
5,5,66025598,6000.0,5.32,credit_card,Fully Paid,36,A,2015-11-01
6,6,65608049,17000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-11-01
7,7,68018286,3000.0,13.18,moving,Fully Paid,36,C,2015-12-01
8,8,65714153,5000.0,10.99,debt_consolidation,Fully Paid,36,B,2015-11-01
9,9,68553238,15000.0,9.8,debt_consolidation,Fully Paid,36,B,2015-12-01
10,10,65874444,10000.0,7.26,debt_consolidation,Charged Off,36,A,2015-12-01
11,11,65657518,10000.0,13.18,debt_consolidation,Fully Paid,36,C,2015-11-01
12,12,66066071,10000.0,17.86,debt_consolidation,Charged Off,36,D,2015-12-01
13,13,67655244,10000.0,9.17,credit_card,Fully Paid,36,B,2015-12-01
14,14,68604936,16800.0,14.85,debt_consolidation,Current,60,C,2015-12-01
15,15,67476587,11050.0,11.99,debt_consolidation,Charged Off,36,C,2015-12-01
16,16,66482468,25000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-12-01
17,17,67418361,4000.0,12.59,debt_consolidation,Fully Paid,36,C,2015-12-01
18,18,65736830,5000.0,6.89,credit_card,Fully Paid,36,A,2015-12-01
19,19,67695303,24000.0,13.18,credit_card,Current,60,C,2015-12-01
20,20,67575659,6500.0,5.32,credit_card,Fully Paid,36,A,2015-12-01
21,21,68202773,19000.0,14.85,credit_card,Charged Off,36,C,2015-12-01
22,22,67327124,16000.0,5.32,debt_consolidation,Fully Paid,36,A,2015-12-01
23,23,68574173,35000.0,19.48,debt_consolidation,Current,60,E,2015-12-01
24,24,66404981,23675.0,17.57,home_improvement,Current,60,D,2015-12-01
25,25,67349268,10000.0,9.76,debt_consolidation,Charged Off,36,B,2015-12-01
26,26,66643530,35000.0,7.89,credit_card,Fully Paid,36,A,2015-12-01
27,27,65656238,8000.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
28,28,66532101,14900.0,7.89,debt_consolidation,Fully Paid,36,A,2015-12-01
29,29,66086653,2800.0,16.55,medical,Fully Paid,36,D,2015-12-01
30,30,65119158,28000.0,10.64,credit_card,Fully Paid,60,B,2015-12-01
31,31,65877533,8000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-12-01
32,32,66635354,17000.0,13.67,debt_consolidation,Current,60,C,2015-12-01
33,33,68553344,35000.0,26.06,debt_consolidation,Fully Paid,60,F,2015-12-01
34,34,68593882,4000.0,12.88,other,Fully Paid,36,C,2015-12-01
35,35,66054987,5000.0,13.18,debt_consolidation,Fully Paid,36,C,2015-12-01
36,36,65665178,4500.0,7.26,debt_consolidation,Fully Paid,36,A,2015-12-01
37,37,65744186,23425.0,16.55,debt_consolidation,Fully Paid,60,D,2015-11-01
38,38,66014286,6000.0,14.48,credit_card,Fully Paid,36,C,2015-11-01
39,39,65592480,8050.0,12.05,debt_consolidation,Charged Off,36,C,2015-11-01
40,40,67726105,8000.0,11.22,debt_consolidation,Fully Paid,36,B,2015-12-01
41,41,65742372,30000.0,9.76,credit_card,Fully Paid,36,B,2015-12-01
42,42,66464544,18600.0,15.41,credit_card,Fully Paid,60,D,2015-12-01
43,43,67788991,7000.0,12.59,home_improvement,Charged Off,36,C,2015-12-01
44,44,65906157,30000.0,18.2,debt_consolidation,Fully Paid,60,E,2015-11-01
45,45,66422203,7000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-12-01
46,46,65777641,16000.0,13.18,credit_card,Current,60,C,2015-11-01
47,47,67398509,5000.0,9.76,other,Fully Paid,36,B,2015-12-01
48,48,66592702,15000.0,6.89,debt_consolidation,Fully Paid,36,A,2015-12-01
49,49,65686867,20000.0,13.67,credit_card,Fully Paid,36,C,2015-12-01
50,50,67287278,10000.0,9.76,debt_consolidation,Fully Paid,36,B,2015-12-01
51,51,66445017,10000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-12-01
52,52,66015332,16000.0,13.67,debt_consolidation,Current,60,C,2015-12-01
53,53,68484228,4725.0,18.49,credit_card,Charged Off,36,D,2015-12-01
54,54,65955403,5600.0,11.22,debt_consolidation,Fully Paid,36,B,2015-12-01
55,55,67328218,30000.0,11.22,credit_card,Fully Paid,36,B,2015-12-01
56,56,65754284,12000.0,13.67,credit_card,Fully Paid,36,C,2015-11-01
57,57,66422333,12850.0,25.99,debt_consolidation,Charged Off,36,F,2015-12-01
58,58,65725998,9875.0,13.67,credit_card,Charged Off,36,C,2015-12-01
59,59,65775872,6000.0,15.41,debt_consolidation,Charged Off,36,D,2015-11-01
60,60,67287296,35000.0,14.48,credit_card,Current,60,C,2015-12-01
61,61,68353570,15000.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
62,62,66624293,25000.0,7.91,other,Fully Paid,36,A,2015-12-01
63,63,66595533,13000.0,7.26,credit_card,Current,60,A,2015-12-01
64,64,66580199,34000.0,8.38,debt_consolidation,Fully Paid,36,B,2015-12-01
65,65,65946749,15000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-12-01
66,66,66505900,4800.0,6.89,home_improvement,Fully Paid,36,A,2015-12-01
67,67,67347360,27600.0,13.18,credit_card,Current,60,C,2015-12-01
68,68,66606528,16000.0,10.64,credit_card,Fully Paid,36,B,2015-12-01
69,69,65656274,12000.0,12.59,debt_consolidation,Fully Paid,36,C,2015-12-01
70,70,65785117,5700.0,13.67,credit_card,Charged Off,36,C,2015-12-01
71,71,67725884,8800.0,9.17,credit_card,Fully Paid,36,B,2015-12-01
72,72,67456380,4675.0,17.57,debt_consolidation,Fully Paid,36,D,2015-12-01
73,73,65703987,8000.0,9.99,credit_card,Fully Paid,36,B,2015-11-01
74,74,66633889,21700.0,17.57,debt_consolidation,Charged Off,36,D,2015-12-01
75,75,65617234,26500.0,16.55,debt_consolidation,Fully Paid,36,D,2015-12-01
76,76,65794115,13000.0,10.99,credit_card,Fully Paid,60,B,2015-11-01
77,77,66520891,16000.0,6.24,credit_card,Fully Paid,36,A,2015-12-01
78,78,68614738,2975.0,21.48,other,Charged Off,36,E,2015-12-01
79,79,67346936,25000.0,16.55,debt_consolidation,Current,60,D,2015-12-01
80,80,67999580,5000.0,14.48,debt_consolidation,Fully Paid,36,C,2015-12-01
81,81,67215965,25000.0,16.99,debt_consolidation,Fully Paid,60,D,2015-12-01
82,82,67308865,15000.0,9.17,debt_consolidation,Current,60,B,2015-12-01
83,83,66531931,5600.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
84,84,66621129,15200.0,15.41,debt_consolidation,Charged Off,60,D,2015-12-01
85,85,65118681,18000.0,13.67,credit_card,Fully Paid,60,C,2015-12-01
86,86,65644386,6500.0,9.17,credit_card,Fully Paid,36,B,2015-11-01
87,87,65747886,28975.0,20.99,debt_consolidation,Current,60,E,2015-12-01
88,88,65704965,5000.0,10.99,debt_consolidation,Fully Paid,36,B,2015-11-01
89,89,66412411,13850.0,18.99,debt_consolidation,Current,60,E,2015-12-01
90,90,68553256,20000.0,11.99,debt_consolidation,Charged Off,36,C,2015-12-01
91,91,68292712,10000.0,7.49,vacation,Charged Off,36,A,2015-12-01
92,92,65624929,7200.0,14.33,debt_consolidation,Charged Off,36,C,2015-11-01
93,93,68342924,20000.0,9.8,credit_card,Fully Paid,36,B,2015-12-01
94,94,12479284,15000.0,15.41,debt_consolidation,Current,60,D,2015-12-01
95,95,67397431,3000.0,16.99,other,Fully Paid,36,D,2015-12-01
96,96,66410952,28000.0,10.78,credit_card,Fully Paid,36,B,2015-12-01
97,97,65926871,19500.0,13.18,debt_consolidation,Fully Paid,60,C,2015-12-01
98,98,66564695,30000.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
99,99,67478009,5000.0,6.24,other,Fully Paid,36,A,2015-12-01
100,100,65926487,3000.0,16.99,debt_consolidation,Fully Paid,36,D,2015-12-01
101,101,68018370,17575.0,18.49,debt_consolidation,Current,60,E,2015-12-01
102,102,66483997,20000.0,7.26,debt_consolidation,Fully Paid,36,A,2015-12-01
103,103,66552287,7000.0,17.86,debt_consolidation,Charged Off,36,D,2015-12-01
104,104,64320803,25000.0,8.38,debt_consolidation,Current,60,B,2015-12-01
105,105,66025793,1600.0,12.59,major_purchase,Fully Paid,36,C,2015-12-01
106,106,66340697,3000.0,12.59,debt_consolidation,Fully Paid,36,C,2015-12-01
107,107,66563063,13200.0,16.99,debt_consolidation,Charged Off,36,D,2015-12-01
108,108,67347161,2000.0,9.76,major_purchase,Fully Paid,36,B,2015-12-01
109,109,66572934,7200.0,8.38,debt_consolidation,Fully Paid,36,B,2015-12-01
110,110,67849885,5000.0,13.67,home_improvement,Fully Paid,36,C,2015-12-01
111,111,66485004,35000.0,17.57,home_improvement,Fully Paid,36,D,2015-12-01
112,112,66430833,10000.0,8.38,credit_card,Fully Paid,36,B,2015-12-01
113,113,66240736,18000.0,6.89,debt_consolidation,Fully Paid,36,A,2015-12-01
114,114,66056568,4000.0,11.99,other,Fully Paid,36,C,2015-12-01
115,115,65665501,10000.0,8.18,debt_consolidation,Fully Paid,36,B,2015-11-01
116,116,65693572,4100.0,9.17,vacation,Fully Paid,36,B,2015-12-01
117,117,68018706,2500.0,6.89,home_improvement,Fully Paid,36,A,2015-12-01
118,118,66025950,30000.0,14.48,credit_card,Current,60,C,2015-11-01
119,119,66543042,4000.0,8.38,home_improvement,Charged Off,36,B,2015-12-01
120,120,65796875,11525.0,16.55,debt_consolidation,Fully Paid,60,D,2015-11-01
121,121,66461373,8000.0,6.24,credit_card,Fully Paid,36,A,2015-12-01
122,122,68252229,3500.0,11.48,debt_consolidation,Fully Paid,36,B,2015-12-01
123,123,66410459,10000.0,13.67,other,Fully Paid,36,C,2015-12-01
124,124,65865956,16800.0,11.22,credit_card,Late (16-30 days),60,B,2015-12-01
125,125,66612416,35000.0,10.64,credit_card,Current,60,B,2015-12-01
126,126,67165169,35000.0,13.18,credit_card,Charged Off,60,C,2015-12-01
127,127,67415819,35000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-12-01
128,128,65697475,24000.0,16.55,home_improvement,Current,60,D,2015-11-01
129,129,65854516,10000.0,7.89,debt_consolidation,Fully Paid,36,A,2015-12-01
130,130,67809321,15000.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
131,131,67307935,6000.0,14.48,debt_consolidation,Charged Off,36,C,2015-12-01
132,132,68323469,30000.0,20.5,home_improvement,Current,60,E,2015-12-01
133,133,67378670,10500.0,18.99,major_purchase,Current,60,E,2015-12-01
134,134,65835968,25000.0,7.26,credit_card,Fully Paid,36,A,2015-12-01
135,135,66451102,4500.0,16.99,debt_consolidation,Fully Paid,36,D,2015-12-01
136,136,68414976,10000.0,8.49,credit_card,Fully Paid,36,B,2015-12-01
137,137,66086392,19800.0,6.89,credit_card,Fully Paid,36,A,2015-12-01
138,138,66610240,9600.0,7.89,debt_consolidation,Fully Paid,36,A,2015-12-01
139,139,64822778,21000.0,9.17,debt_consolidation,Fully Paid,36,B,2015-11-01
140,140,65964157,7550.0,15.41,credit_card,Fully Paid,36,D,2015-12-01
141,141,66350201,35000.0,18.2,debt_consolidation,Fully Paid,60,E,2015-12-01
142,142,65677522,8000.0,11.99,credit_card,Fully Paid,36,C,2015-12-01
143,143,68383278,3000.0,11.99,debt_consolidation,Fully Paid,36,C,2015-12-01
144,144,68544096,12000.0,9.17,debt_consolidation,Fully Paid,60,B,2015-12-01
145,145,67715442,11000.0,16.55,debt_consolidation,Charged Off,60,D,2015-12-01
146,146,67005305,8000.0,17.57,debt_consolidation,Fully Paid,36,D,2015-12-01
147,147,66104960,25000.0,17.57,debt_consolidation,Charged Off,60,D,2015-12-01
148,148,67258738,10000.0,9.17,debt_consolidation,Charged Off,36,B,2015-12-01
149,149,68584649,8400.0,7.91,debt_consolidation,Fully Paid,36,A,2015-12-01
150,150,66200859,24000.0,14.48,credit_card,Fully Paid,60,C,2015-12-01
