RiskID,LoanID,DTI,Delinquencies,CreditInquiries,RevolvingUtilization,PublicRecords,OpenAccounts,TotalAccounts,DefaultPrediction
1,1,16.85,0.0,1.0,48.8,0.0,14.0,26.0,No
2,2,32.88,0.0,0.0,79.1,0.0,26.0,38.0,No
3,3,14.45,0.0,1.0,29.8,0.0,23.0,38.0,No
4,4,37.57,0.0,0.0,75.9,0.0,16.0,31.0,No
5,5,4.46,0.0,0.0,42.3,0.0,5.0,10.0,No
6,6,26.54,0.0,0.0,93.4,0.0,7.0,10.0,No
7,7,19.12,0.0,1.0,18.2,0.0,11.0,15.0,No
8,8,18.33,0.0,0.0,39.2,0.0,16.0,28.0,No
9,9,33.38,0.0,1.0,53.9,0.0,24.0,37.0,No
10,10,15.53,1.0,0.0,8.0,0.0,18.0,25.0,Yes
11,11,13.39,3.0,1.0,40.7,0.0,21.0,34.0,No
12,12,39.41,0.0,2.0,71.8,0.0,15.0,20.0,Yes
13,13,20.87,0.0,0.0,53.9,0.0,13.0,14.0,No
14,14,16.88,0.0,2.0,44.7,0.0,9.0,10.0,No
15,15,7.96,0.0,0.0,50.7,0.0,8.0,10.0,Yes
16,16,24.23,0.0,0.0,41.2,0.0,20.0,49.0,No
17,17,23.43,0.0,3.0,55.4,0.0,5.0,22.0,No
18,18,32.34,1.0,0.0,58.0,0.0,7.0,14.0,No
19,19,15.3,0.0,0.0,96.0,0.0,6.0,23.0,No
20,20,11.43,0.0,1.0,17.4,0.0,8.0,32.0,No
21,21,25.9,0.0,3.0,29.3,1.0,13.0,20.0,Yes
22,22,17.1,1.0,0.0,59.4,0.0,10.0,30.0,No
23,23,22.28,0.0,0.0,81.2,0.0,10.0,14.0,No
24,24,29.89,0.0,2.0,36.5,0.0,20.0,52.0,No
25,25,1.34,2.0,0.0,17.8,0.0,4.0,10.0,Yes
26,26,21.18,0.0,0.0,71.0,0.0,12.0,37.0,No
27,27,23.81,0.0,1.0,62.7,0.0,12.0,22.0,No
28,28,29.09,0.0,1.0,24.0,0.0,32.0,45.0,No
29,29,32.97,0.0,0.0,90.0,0.0,8.0,23.0,No
30,30,19.47,0.0,1.0,61.8,0.0,10.0,34.0,No
31,31,10.94,0.0,0.0,19.7,1.0,19.0,34.0,No
32,32,22.08,1.0,0.0,78.3,0.0,8.0,21.0,No
33,33,27.31,0.0,3.0,72.8,0.0,43.0,55.0,No
34,34,14.43,0.0,1.0,98.7,0.0,6.0,6.0,No
35,35,12.16,0.0,0.0,22.6,0.0,11.0,11.0,No
36,36,7.25,2.0,0.0,24.7,0.0,12.0,19.0,No
37,37,27.66,1.0,0.0,50.3,0.0,12.0,20.0,No
38,38,30.2,0.0,1.0,93.1,0.0,6.0,24.0,No
39,39,31.44,0.0,0.0,59.6,0.0,6.0,12.0,Yes
40,40,6.92,0.0,1.0,45.0,0.0,11.0,21.0,No
41,41,12.17,1.0,0.0,61.0,0.0,14.0,26.0,No
42,42,23.5,1.0,0.0,54.1,0.0,17.0,29.0,No
43,43,22.05,0.0,1.0,57.5,0.0,10.0,26.0,Yes
44,44,20.48,0.0,2.0,68.8,0.0,9.0,24.0,No
45,45,7.27,0.0,0.0,18.8,0.0,7.0,11.0,No
46,46,17.32,3.0,0.0,51.6,0.0,16.0,30.0,No
47,47,12.97,0.0,1.0,13.3,1.0,9.0,40.0,No
48,48,15.6,0.0,1.0,48.2,0.0,15.0,37.0,No
49,49,29.97,0.0,0.0,97.9,0.0,14.0,37.0,No
50,50,5.8,0.0,1.0,65.8,0.0,12.0,17.0,No
51,51,8.4,0.0,0.0,24.1,0.0,19.0,22.0,No
52,52,23.46,0.0,0.0,66.6,0.0,15.0,15.0,No
53,53,16.84,1.0,1.0,68.4,0.0,9.0,24.0,Yes
54,54,21.48,0.0,0.0,35.6,0.0,6.0,7.0,No
55,55,8.22,0.0,2.0,62.3,2.0,20.0,37.0,No
56,56,12.99,0.0,0.0,56.0,0.0,13.0,13.0,No
57,57,17.4,0.0,1.0,53.9,0.0,11.0,12.0,Yes
58,58,20.44,0.0,1.0,82.9,0.0,7.0,17.0,Yes
59,59,30.16,1.0,2.0,30.3,0.0,5.0,7.0,Yes
60,60,21.97,1.0,0.0,98.6,0.0,8.0,34.0,No
61,61,13.41,0.0,0.0,59.3,0.0,6.0,15.0,No
62,62,16.87,0.0,0.0,52.2,0.0,8.0,25.0,No
63,63,15.24,0.0,2.0,19.7,0.0,15.0,54.0,No
64,64,19.21,0.0,0.0,46.2,0.0,13.0,26.0,No
65,65,24.77,3.0,0.0,36.9,0.0,9.0,40.0,No
66,66,10.35,0.0,0.0,45.1,0.0,19.0,30.0,No
67,67,19.6,0.0,2.0,63.5,1.0,8.0,22.0,No
68,68,11.18,0.0,0.0,100.4,0.0,12.0,15.0,No
69,69,20.66,0.0,0.0,65.6,1.0,15.0,34.0,No
70,70,18.81,0.0,4.0,57.7,0.0,4.0,10.0,Yes
71,71,18.8,0.0,1.0,65.8,0.0,7.0,27.0,No
72,72,29.27,0.0,3.0,44.3,0.0,12.0,22.0,No
73,73,4.03,0.0,0.0,30.8,0.0,5.0,9.0,No
74,74,20.0,2.0,0.0,62.5,0.0,13.0,20.0,Yes
75,75,13.16,0.0,2.0,25.7,1.0,15.0,18.0,No
76,76,35.65,0.0,1.0,28.6,0.0,12.0,23.0,No
77,77,21.1,0.0,0.0,55.7,0.0,10.0,17.0,No
78,78,6.9,0.0,2.0,49.0,0.0,9.0,10.0,Yes
79,79,32.82,0.0,1.0,50.1,0.0,45.0,62.0,No
80,80,34.37,2.0,3.0,42.4,0.0,19.0,32.0,No
81,81,36.79,0.0,1.0,37.0,0.0,21.0,26.0,No
82,82,19.38,3.0,2.0,39.9,0.0,22.0,62.0,No
83,83,18.26,0.0,0.0,44.3,0.0,6.0,6.0,No
84,84,30.99,0.0,2.0,49.7,1.0,22.0,29.0,Yes
85,85,12.48,0.0,0.0,71.2,0.0,7.0,12.0,No
86,86,5.59,0.0,1.0,28.5,0.0,10.0,15.0,No
87,87,30.17,0.0,2.0,47.5,0.0,11.0,20.0,No
88,88,18.51,2.0,0.0,26.6,0.0,10.0,20.0,No
89,89,19.23,0.0,1.0,59.0,1.0,11.0,14.0,No
90,90,14.89,0.0,2.0,87.0,0.0,7.0,17.0,Yes
91,91,20.18,0.0,0.0,57.8,0.0,9.0,36.0,Yes
92,92,18.03,0.0,0.0,84.6,0.0,6.0,8.0,Yes
93,93,16.74,0.0,0.0,78.5,0.0,10.0,25.0,No
94,94,32.4,0.0,2.0,74.2,0.0,14.0,26.0,No
95,95,30.81,0.0,3.0,86.2,0.0,13.0,27.0,No
96,96,18.31,2.0,0.0,82.9,0.0,5.0,14.0,No
97,97,19.06,0.0,1.0,96.7,0.0,5.0,13.0,No
98,98,6.64,0.0,1.0,60.3,0.0,9.0,10.0,No
99,99,25.91,1.0,1.0,11.8,0.0,25.0,45.0,No
100,100,24.46,1.0,2.0,79.5,0.0,7.0,19.0,No
101,101,13.2,0.0,2.0,16.1,1.0,7.0,11.0,No
102,102,19.26,0.0,0.0,33.5,0.0,24.0,53.0,No
103,103,17.8,0.0,2.0,50.6,1.0,14.0,17.0,Yes
104,104,26.55,0.0,0.0,70.7,0.0,12.0,26.0,No
105,105,29.73,0.0,0.0,70.8,0.0,12.0,32.0,No
106,106,6.22,0.0,0.0,3.8,0.0,9.0,24.0,No
107,107,7.31,0.0,4.0,19.3,0.0,16.0,24.0,Yes
108,108,10.14,1.0,0.0,33.1,0.0,6.0,17.0,No
109,109,9.69,1.0,1.0,83.1,1.0,10.0,23.0,No
110,110,19.3,0.0,0.0,73.5,0.0,8.0,32.0,No
111,111,15.63,0.0,1.0,71.5,0.0,14.0,20.0,No
112,112,10.32,0.0,1.0,68.9,0.0,6.0,17.0,No
113,113,29.06,1.0,0.0,42.5,0.0,27.0,58.0,No
114,114,14.77,1.0,0.0,103.9,0.0,7.0,24.0,No
115,115,5.91,0.0,0.0,8.0,0.0,18.0,23.0,No
116,116,28.97,1.0,0.0,51.7,0.0,16.0,28.0,No
117,117,19.32,0.0,1.0,43.4,0.0,17.0,27.0,No
118,118,30.67,0.0,2.0,73.3,0.0,22.0,36.0,No
119,119,27.91,1.0,0.0,19.3,0.0,20.0,43.0,Yes
120,120,13.01,0.0,0.0,80.3,1.0,6.0,8.0,No
121,121,16.75,0.0,0.0,75.6,0.0,7.0,21.0,No
122,122,10.72,0.0,2.0,20.6,2.0,18.0,50.0,No
